Column name,Predictive / Target,Description
loan_id,Not Predictive,Primary key for loan listing.
loan_amount,Predictive,Listed amount of the loan.
loan_term,Predictive,The number of payments on the loan. Values are in months and can be either 36 or 60.
loan_interest_rate,Predictive,Interest Rate on the loan.
loan_installment,Predictive,Monthly payment owed by the borrower.
loan_purpose,Predictive,Category provided by the borrower for loan request.
grade,Predictive,Grade of the loan given.
sub_grade,Predictive,Sub-grade of loan given.
